Time,P_battery,P_battery_kW,,Time_step
0.4975,269218.2460,269.218246,,0.0000
0.9939,269218.2460,269.218246,,0.4965
1.4881,269218.2460,269.218246,,0.4941
1.9806,269218.2460,269.218246,,0.4925
2.4700,269218.2460,269.218246,,0.4894
2.9574,269218.2460,269.218246,,0.4874
3.4511,269218.2460,269.218246,,0.4937
3.9324,269218.2460,269.218246,,0.4813
4.4168,269218.2460,269.218246,,0.4844
4.9325,-577599.3600,-577.59936,,0.5157
5.4823,-326974.3243,-326.9743243,,0.5498
6.0268,-251113.2191,-251.1132191,,0.5445
6.5550,116198.1497,116.1981497,,0.5282
7.0683,269039.8694,269.0398694,,0.5133
7.5669,269218.2460,269.218246,,0.4986
8.0721,-577599.3600,-577.59936,,0.5053
8.5642,-577599.3600,-577.59936,,0.4921
9.0493,-330189.7675,-330.1897675,,0.4850
9.5477,-199068.1222,-199.0681222,,0.4984
10.0420,-186167.2837,-186.1672837,,0.4943
10.5420,-28333.2716,-28.3332716,,0.5000
11.0394,160291.9630,160.291963,,0.4974
11.5380,177410.2460,177.410246,,0.4986
12.0255,194114.2460,194.114246,,0.4875
12.4529,210043.6917,210.0436917,,0.4274
12.8829,-577599.3600,-577.59936,,0.4300
13.3772,-577599.3600,-577.59936,,0.4943
13.9079,-170557.8136,-170.5578136,,0.5306
14.4521,-166883.1325,-166.8831325,,0.5442
14.9988,-56416.1118,-56.41611181,,0.5467
15.5607,126422.9358,126.4229358,,0.5619
16.1056,146626.2460,146.626246,,0.5449
16.6405,165698.2460,165.698246,,0.5349
17.1724,183970.2460,183.970246,,0.5319
17.6955,201612.0573,201.6120573,,0.5231
18.2100,218469.4518,218.4694518,,0.5145
18.7314,234562.2460,234.562246,,0.5214
19.2450,250348.1999,250.3481999,,0.5136
19.7482,265401.7653,265.4017653,,0.5032
20.2501,269218.2460,269.218246,,0.5019
20.7573,269218.2460,269.218246,,0.5071
21.2556,269218.2460,269.218246,,0.4983
21.7445,269218.2460,269.218246,,0.4889
22.2362,269218.2460,269.218246,,0.4916
22.7141,269218.2460,269.218246,,0.4780
23.1954,269218.2460,269.218246,,0.4813
23.6764,269218.2460,269.218246,,0.4809
24.1453,269218.2460,269.218246,,0.4689
24.6226,269218.2460,269.218246,,0.4773
25.0986,269218.2460,269.218246,,0.4760
25.5714,269218.2460,269.218246,,0.4728
26.0463,269218.2460,269.218246,,0.4748
26.5308,269218.2460,269.218246,,0.4846
27.0129,-577599.3600,-577.59936,,0.4820
27.5171,-577599.3600,-577.59936,,0.5042
28.0864,-577599.3600,-577.59936,,0.5693
28.7024,-411261.9470,-411.261947,,0.6159
29.2870,-179064.1347,-179.0641347,,0.5846
29.7832,-150455.4615,-150.4554615,,0.4963
30.2197,-144959.4166,-144.9594166,,0.4365
30.6770,-93705.6002,-93.70560025,,0.4573
31.1596,56194.2460,56.19424601,,0.4825
31.6586,74754.2460,74.75424601,,0.4991
32.1559,93672.1790,93.67217905,,0.4972
32.6649,112194.2460,112.194246,,0.5090
33.1727,130786.2460,130.786246,,0.5078
33.6774,148930.2460,148.930246,,0.5048
34.1807,111222.1476,111.2221476,,0.5033
34.6970,-17510.3115,-17.51031148,,0.5163
35.2026,-9892.6907,-9.892690698,,0.5056
35.7131,2442.1799,2.442179875,,0.5105
36.2296,50548.8719,50.54887187,,0.5165
36.7402,197410.2460,197.410246,,0.5106
37.2314,213986.2460,213.986246,,0.4912
37.7279,229474.2460,229.474246,,0.4965
38.2174,244674.2460,244.674246,,0.4895
38.7048,259186.1184,259.1861184,,0.4874
39.1795,269218.2460,269.218246,,0.4748
39.6584,269218.2460,269.218246,,0.4789
40.1617,-577599.3600,-577.59936,,0.5033
40.6766,-577599.3600,-577.59936,,0.5150
41.1935,-577599.3600,-577.59936,,0.5168
41.6808,-202086.8369,-202.0868369,,0.4873
42.1558,-26790.7939,-26.79079386,,0.4750
42.6398,161778.1594,161.7781594,,0.4840
43.0950,178395.4444,178.3954444,,0.4552
43.5256,-577599.3600,-577.59936,,0.4306
43.9945,-172961.9589,-172.9619589,,0.4689
44.4668,-165795.7105,-165.7957105,,0.4723
44.9472,-54844.0433,-54.84404332,,0.4805
45.4394,128258.2460,128.258246,,0.4921
45.9340,145890.2460,145.890246,,0.4946
46.4332,163239.2176,163.2392176,,0.4992
46.9362,180336.5402,180.3365402,,0.5030
47.4451,197122.8759,197.1228759,,0.5089
47.9567,-577599.3600,-577.59936,,0.5115
48.4675,-577599.3600,-577.59936,,0.5109
49.0156,-577599.3600,-577.59936,,0.5481
49.6004,-157660.1621,-157.6601621,,0.5848
50.1681,-149067.7774,-149.0677774,,0.5678
50.7197,-146231.3603,-146.2313603,,0.5515
51.2640,-95858.4507,-95.85845068,,0.5444
51.8144,50322.9289,50.3229289,,0.5503
52.3537,71593.6939,71.59369385,,0.5394
52.8796,92098.2460,92.09824601,,0.5259
53.4068,111714.2460,111.714246,,0.5272
53.9410,130978.2460,130.978246,,0.5343
54.4558,150082.2460,150.082246,,0.5148
54.9772,168032.8711,168.0328711,,0.5214
55.4926,185762.2460,185.762246,,0.5154
55.9966,202818.2460,202.818246,,0.5040
56.5108,219028.7021,219.0287021,,0.5142
57.0054,235091.9179,235.0919179,,0.4946
57.5105,250050.2460,250.050246,,0.5051
57.9983,264857.7901,264.8577901,,0.4877
58.4841,269218.2460,269.218246,,0.4859
58.9642,269218.2460,269.218246,,0.4801
59.4793,-577599.3600,-577.59936,,0.5151
